Ilyas Shahi dynasty,,,The dynasty that ruled in Bengal from 1342 to 1487,http://en.wikipedia.org/wiki/Ilyas_Shahi_dynasty,
Imperialism,Imperial Capitalism,,"Policy of extending a country's power via political, economic, or military force",http://en.wikipedia.org/wiki/Imperialism,
Indian National Congress,,,"The Indian National Congress (INC) is one of the most prominent political parties in India. This party was founded in 1885 by some of the leading political figures of the time. The INC played a major role in the Indian Independence Movement against British Rule. During the freedom movement the INC had 15 million members and over 70 million participants nation wide. Moreover, even after independence in 1947, it remained the main political party in Indian politics, lead by the Nehru-Gandhi family.",http://en.wikipedia.org/wiki/Indian_National_Congress,
interventionist,,,"Interventionism is a term for a policy of non-defensive (proactive) activity undertaken by a nation-state, or other geo-political jurisdiction of a lesser or greater nature, to manipulate an economy or society. The most common applications of the term are for economic interventionism (a state's intervention in its own economy), and foreign interventionism (a state's intervention in the affairs of another nation as part of its foreign policy).",http://en.wikipedia.org/wiki/Interventionism_(politics),
Islam,,,A monotheistic religion revealed by the prophet Muhammad beginning in the 7th century.  Its primary religious text is the Quran.,http://en.wikipedia.org/wiki/Islam,
Jihad,,,An Islamic concept that denotes religious or spiritual struggle,http://en.wikipedia.org/wiki/Jihad,
Kali,,,Hindu goddess associated with power,http://en.wikipedia.org/wiki/Kali,
Kali Puja,,,Hindu festival dedicated to the goddess Kali,http://en.wikipedia.org/wiki/Kali_Puja,
Kashmir Sultanate,,,"Kashmir was ruled by independent sultans from 1320 to 1586, after which it was taken by the Mughals.",http://en.wikipedia.org/wiki/Kashmir#Muslim_rule,
kayasthas,,,A Hindu caste whose members were traditionally employed as scribes,http://en.wikipedia.org/wiki/Kayastha,
Khanate,,,A region ruled by a khan (a Mongol or Turkic supreme tribal leader),http://en.wikipedia.org/wiki/Khanate,
Kingdom of Awadh,,,A kingdom ruled by the Nawabs of Awadh which became independent from Mughal rule in the eighteenth but soon thereafter came under British rule,http://en.wikipedia.org/wiki/Oudh_kingdom,
Kingdom of Kashi,,,A Bhumihar Brahmin state that was under Mughal and then British tutelage before joining the Indian Union.,http://en.wikipedia.org/wiki/Kingdom_of_Kashi,
Kings of Siak,,,"Rulers of the Siak sultanate (1723-1946), which is today part of Indonesia",http://en.wikipedia.org/wiki/Sultanate_of_Siak_Sri_Indrapura,
leftist rule,,,"""Leftist Rule"" refers to the rule or the political power of the Left—those who support social change to create a more equal society.  West Bengal is one of the Indian states where the political power of the Left is still very prominent.",http://en.wikipedia.org/wiki/Left-wing_politics,
Madrasa,,,A school for Islamic instruction.,http://en.wikipedia.org/wiki/Madrasa,
Malacca Sultanate,,,A sultanate formed c. 1400 on the Malay Peninsula. It was conquered by the Portuguese in 1511.,http://en.wikipedia.org/wiki/Malacca_Sultanate,
Maratha,,,A member of the princely and military castes of Maharashtra,http://en.wikipedia.org/wiki/Maratha,
Marathi,,,The Indic language of the Marathas,http://en.wikipedia.org/wiki/Marathi_language,
Marxism,,,"Marxism is a political ideology that is derived from the ideas of Karl Marx. The three primary aspects of Marxism are the dialectical and materialist concept of history, the critique of capitalism, and the advocacy of a proletarian revolution.",http://en.wikipedia.org/wiki/Marxism,
Matua,,,A sect of Hinduism,http://en.wikipedia.org/wiki/Matua_Mahasangha,
Meiji Restoration,,,A series of events that restored imperial rule to Japan in 1868.,http://en.wikipedia.org/wiki/Meiji_Restoration,
mercantilism,,,"A 16th to 18th century trade policy advocating state intervention in economic affairs, primarily to maximize exports.",http://en.wikipedia.org/wiki/Mercantilism,
military,,,The armed forces of a country.,http://en.wikipedia.org/wiki/Military,
military fiscalism,,,An economic system geared towards maximizing the extraction of money for the military.,http://en.wikipedia.org/wiki/Fiscal-military_state,
modern,,,Of or relating to recent times or the present.,http://en.wikipedia.org/wiki/Modern,
modernity,,,"Refers to a post-traditional, post-medieval historical period, one marked by the move from feudalism (or agrarianism) toward capitalism, industrialization, secularization, rationalization and the nation-state.",http://en.wikipedia.org/wiki/Modernity,
modernization,,,"Modernization refers to the transition from the pre-modern or traditional society to a modern one.  Many historian link this transition with the processes of industrialization, urbanization and the spread of education.",http://en.wikipedia.org/wiki/Modernization,
monopoly,,,The exclusive control of trade in (or supply of) a commodity,http://en.wikipedia.org/wiki/Monopoly,
Monsoon,,,"The term was first used in English in British India (now India, Bangladesh and Pakistan) and neighbouring countries to refer to the big seasonal winds blowing from the Bay of Bengal and Arabian Sea in the southwest bringing heavy rainfall to the area. The south-west monsoon winds are called 'Nairutya Maarut' in India.",http://en.wikipedia.org/wiki/Monsoon,http://en.wikipedia.org/wiki/File:India_southwest_summer_monsoon_onset_map_en.svg
moral,,,Principles concerning the distinction between right and wrong or good and bad behavior.,http://en.wikipedia.org/wiki/Morality,
Mughal Empire,,,"The Moghuls were an Islamic imperial power that ruled a large portion of the Indian subcontinent. Their rule began in 1526 with the descendants of the Timurid dynasty. Babur was the first ruler of the Mogul empire. The peak of Mughal rule in India was in 1700 when they controlled most of the Indian sub-continent extending from Bengal in the East to Baluchistan in the West, Kashmir in the North and Kaveri in the South. The rule of the Mugul empire came to an end in the 19th century due to Hindu uprisings and the power of the British Raj. The last Mughal king was Humayun.",http://en.wikipedia.org/wiki/Mughal_Empire,
Muslim League,,,Political organization founded in 1906 to protect the rights of Muslims in British India. Its deadlock with the Indian National Congress over the form of government in independent India ultimately led to the partition of British India into India and Pakistan.,http://en.wikipedia.org/wiki/Muslim_league,
Muzaffarid dynasty,,,"A sultanate in Gujarat, India that asserted its independence from the Delhi sultanate in 1403 and remained autonomous until it was incorporated by the Mughals in 1572.",http://en.wikipedia.org/wiki/Muzaffarid_dynasty_of_Gujarat,
Namasudra,,,A community outside the four-tier caste system whose members were traditionally boatmen or cultivators,http://en.wikipedia.org/wiki/Namasudra,
Nastaliq,,,A style of calligraphy used in writing the Perso-Arabic script.,http://en.wikipedia.org/wiki/Nastaliq,
nation,,,"May refer to a community of people who share a common language, culture, ethnicity, descent, and/or history. In this definition, a nation has no physical borders. However, it can also refer to people who share a common territory and government (for example the inhabitants of a sovereign state) irrespective of their ethnic make-up.",http://en.wikipedia.org/wiki/Nation,
National Archives (UK),,,The official archives of the governement of the United Kingdom,http://en.wikipedia.org/wiki/National_Archives_UK,
National Library of India,,,"India's largest library, administered by the government's Department of Culture",http://en.wikipedia.org/wiki/National_Library_of_India,
Nizam of Hyderabad,,,The title for the ruler of Hyderabad state.,http://en.wikipedia.org/wiki/Nizam_of_Hyderabad,
Noakhali Riots,,,"Riots in Noakhali, Bengal in the months following the Great Calcutta Killings of 1946.",http://en.wikipedia.org/wiki/Noakhali_genocide,
Non-cooperation movement,,,A nonviolent movement in India led by Mohandas Karamchand Gandhi from 1920 to 1922 to resist British rule.,http://en.wikipedia.org/wiki/Noncooperation_movement,
Orient,,,"Word denoting the countries of Asia, particular Eastern Asia.",http://en.wikipedia.org/wiki/Orient,
Orientalism,,,"Term that is used in the West to describe many aspects of Eastern cultures. This  term was coined when artists, writers, and designers from the West derived elements of their work from Eastern cultures.",http://en.wikipedia.org/wiki/Orientalism,
