East Africa,http://en.wikipedia.org/wiki/East_Africa#,East Africa,,-9999,-9999,-9999,8.5,40,,region
South Arabia,http://en.wikipedia.org/wiki/Arabia#,South Arabia,,-9999,-9999,-9999,17,53,"The southern part of the Arabian Peninsula - includes Oman, Yemen and parts of southern Saudi Arabia",region
Baghdad,http://en.wikipedia.org/wiki/Baghdad#,Baghdad,,Iraq,Baghdad,Baghdad,33.286604,44.406916,,city/town
Quanzhou,http://en.wikipedia.org/wiki/Quanzhou#,Quanzhou,Zayton,China,Fujian,Quanzhou,24.913889,118.585833,,city/town
Al Basrah,http://en.wikipedia.org/wiki/Basra#,Al Basrah,,Iraq,Al Basrah,Al Basrah,30.488358,47.757197,,city/town
Kollam,http://www.kollamcorporation.gov.in/#,Kollam,Quilon,India,Kerala,Kollam,8.880556,76.591667,,city/town
Kochi,http://en.wikipedia.org/wiki/Kochi#,Kochi,Malabar,India,Kerala,Kochi,9.966667,76.233333,,city/town
Sri Lanka,http://www.priu.gov.lk/#,Sri Lanka,Ceylon,Sri Lanka,-9999,-9999,7.5,80.5,,country
The Levant,http://en.wikipedia.org/wiki/Levant#,The Levant,,-9999,-9999,-9999,34.075734,37.978458,"A region on the east coast of the Mediterranean Including Syria, Lebonan, Israel and the West Bank, and Jordan",region
Persian Gulf,http://en.wikipedia.org/wiki/Persian_gulf#,Persian Gulf,,-9999,-9999,-9999,27,51,,gulf
Red Sea,http://en.wikipedia.org/wiki/Red_sea#,Red Sea,,-9999,-9999,-9999,13.572722,42.75,,sea
Alexandria,http://alexandriaegypt.com/#,Alexandria,,Egypt,Al Iskandar_yah,Alexandria,31.204494,29.905102,,city/town
Cairo,http://www.touregypt.net/cairo/#,Cairo,,Egypt,Al Qahirah,Cairo,30.07791,31.2508,,city/town
Jeddah,http://www.jeddah.gov.sa/english/#,Jeddah,,Saudi Arabia,Makkah,Jeddah,21.543003,39.173005,,city/town
Khambh_t,http://www.chinci.com/travel/pax/q/1267090/Khambh%C4%81t/IN/India/0/##,Khambh_t,Cambay,India,Gujar_t,Khambh_t,22.3,72.616667,,city/town
Surat,http://www.suratmunicipal.org/Default.asp,Surat,,India,Gujar_t,Surat,20.916667,73.05,,city/town
Strait of Malacca,http://en.wikipedia.org/wiki/Strait_of_Malacca#,Strait of Malacca,,-9999,-9999,-9999,2.5,101.333333,,strait
Melaka,http://www.melaka.gov.my/bi.html#,Melaka,,Malaysia,Melaka,Melaka,2.196,102.2405,,city/town
Aceh,http://en.wikipedia.org/wiki/Aceh#,Aceh,,Indonesia,Aceh,-9999,5,96.75,,state/province
Atlantic Ocean,http://en.wikipedia.org/wiki/Atlantic_Ocean#,Atlantic Ocean,,-9999,-9999,-9999,10,-25,,ocean
The East Indies,http://en.wikipedia.org/wiki/East_Indies#,The East Indies,,-9999,-9999,-9999,6.8,101.2,"A region that includes South Asia, Southeast Asia, and the islands.",region
