Buddhir Murkhti Andolon,The Buddhir Mukti Andolan was the Freedom of Intellect Movement which was started by the Bengali speaking and writing Muslim intelligentsia in the 1920s and the 1930s. This was a rational humanist movement whereby the intellectuals who still defined themselves as Muslims critiqued Islam and called for a subordination of its tenets to the principles of socio-economic well being and individual freedom and creativity. �?�,http://www.mellenpress.com/mellenpress.cfm?bookid=7125&pc=9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commonwealth History,The Common Wealth is considered to be a successor of the British Empire. It started to form when many of the colonies began to gain independence. The formal organization of the Common Wealth was developed from the Imperial Conferences where the independence of certain colonies was established.,http://en.wikipedia.org/wiki/Commonwealth_of_Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford Center for South Asian Studies,,http://www.sant.ox.ac.uk/asian/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The British Raj,"The British raj as the name suggests is the region under the rule. It refers to the period of British colonial rule over South Asia between 1858 and 1947. The British first established a stronghold over India when the rule of the British East India company, a commercial enterprise was transferred to the crown, the Queen of England. The region that the British rule covered consisted of British administered areas as well as Indian princely states.",http://en.wikipedia.org/wiki/British_Raj,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Empire Writes Back,This book is a powerful account on postcolonial cultures and how the power structures were involved in the cultural history and literature of colonial states. It illustrates the postcolonial discourse by the writers and intellectuals of former colonized nations and their own interpretation of their culture and identity.,http://www.shvoong.com/books/5693-empire-writes-theory-practice-post/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structuralism,Structuralism is an approach to analyze a specific field as a complex system of interrelated parts. Its basis is on the foundation that lies beneath the surface of meaning. It began with the study of linguistics but then began to be applied to several other fields. Thus it became an intellectual movement and not just a method.,http://en.wikipedia.org/wiki/Structuralism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post modernism,"Post Modernism literally means after modernism. It is usually associated with difference, separation, textuality and skepticism. It is a departure from all that is linked with the �??modern,�?? such as identity, unity, authority and certainty. Thus it is a rejection of the scientific approach that became prevalent during the Enlightenment.",http://en.wikipedia.org/wiki/Postmodernism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deconstruction,"Deconstruction is an approach, introduced by French philosopher Jacques Derrida. This approach emphasizes that any text has several meanings and interpretations. It maintains that the foundations that the text is based upon are unstable, complex and irreducible.",http://en.wikipedia.org/wiki/Deconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orientalism,"Orientalism is the term that is used in the West to describe many aspects of Eastern cultures. This  term was coined when artists, writers and designers from the West derived elements of their work from these Eastern cultures.",http://en.wikipedia.org/wiki/Orientalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal Renaissance,"This term refers to a cultural movement and a period of social reform. It took place in the region of Bengal during the British Raj in the nineteenth and early twentieth centuries. Bengal during this period was teeming with religious reformers, social reformers, scholars, intellectuals, scientists, literary geniuses, journalists, patriotic orators and freedom fighters. All of these individuals made unique intellectual and creative contributions to this movement. Thus this movement reflected a type of Renaissance.",http://en.wikipedia.org/wiki/Bengal_Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
